type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smo+˝,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-39,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,54368,0,131,0,0,0.238244,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -19 17 -20 17 -20 17 -21 16 -21 15 -21 14 -21 14 -21 14 -22 13 -22 12 -22 12 -23 12 -22 11 -22 11 -22 11 -22 11 -22 9 -20 9 -20 9 -20 10 -20 10 -20 10 -19 9 -19 9 -20 10 -20 10 0 0 -19 10 -18 10 -18 10 -18 10 -17 10 -17 11 -17 12 -17 11 -17 12 -17 12 -17 12 -16 12 -16 12 -17 13 -16 12 -16 13 -16 13 -16 13 -15 14 -15 14 -15 14 -15 15 -14 15 -15 15 -15 15 -14 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-50,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,58714,0,135,0,0,0.244351,384,[-121 112 8 0 0 0 0 0 0 0 0 0 13 -15 13 -15 14 -15 15 -14 14 -13 14 -13 15 -12 15 -12 16 -12 15 -11 15 -11 15 -10 16 -10 16 -10 16 -10 15 -10 15 -10 15 -9 15 -9 15 -9 14 -9 14 -9 14 -9 14 -9 14 -9 13 -9 0 0 13 -9 13 -10 13 -10 12 -10 12 -10 12 -10 12 -10 12 -10 11 -11 11 -11 11 -11 11 -11 10 -11 10 -12 10 -12 10 -12 10 -12 10 -12 9 -12 9 -13 9 -13 9 -13 9 -14 8 -14 8 -14 8 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-50,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,84044,0,239,0,0,0.267449,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 7 -17 8 -16 8 -17 9 -16 9 -16 9 -15 9 -15 10 -15 10 -15 10 -14 11 -14 11 -14 11 -13 11 -13 11 -13 11 -13 10 -12 10 -12 10 -12 10 -12 10 -12 10 -12 10 -12 10 -12 10 -12 9 -11 0 0 9 -12 9 -12 8 -11 8 -12 8 -12 8 -12 7 -12 7 -12 7 -12 7 -13 7 -13 7 -13 6 -12 6 -13 6 -13 5 -13 6 -14 5 -13 5 -14 5 -14 5 -14 4 -14 5 -14 4 -14 4 -14 4 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-41,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1024419,0,37,0,0,1.20813,128,[37 80 2 0 0 0 0 0 0 0 0 0 -19 18 -19 17 -20 17 -21 17 -21 16 -20 15 -21 15 -21 14 -21 14 -22 13 -22 12 -23 12 -22 12 -22 11 -21 11 -21 12 -21 11 -20 11 -20 10 -19 11 -19 11 -20 11 -19 10 -19 10 -19 11 -19 11 0 0 -18 12 -18 12 -17 12 -17 12 -16 12 -16 13 -16 13 -16 13 -15 14 -16 13 -16 14 -15 13 -15 14 -15 15 -14 14 -14 15 -14 16 -14 15 -13 16 -13 16 -13 16 -13 17 -13 17 -13 17 -13 17 -12 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,0,0,0,0,-96,0,6,1,1024722,0,82,0,0,1.21459,384,[82 -96 4 0 0 0 0 0 0 0 0 0 6 -17 7 -17 7 -17 8 -16 9 -16 8 -16 9 -15 9 -15 9 -15 10 -15 10 -14 11 -14 10 -14 11 -14 10 -13 10 -13 10 -13 9 -13 10 -12 10 -13 9 -12 9 -12 9 -12 9 -12 9 -12 9 -12 0 0 8 -12 8 -12 8 -12 7 -12 7 -12 7 -12 7 -12 7 -13 6 -13 6 -13 6 -13 6 -13 6 -13 5 -13 5 -13 5 -14 5 -14 4 -13 4 -14 4 -14 4 -14 4 -14 4 -14 3 -14 3 -14 3 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,0,0,0,0,-96,0,6,1,1036380,0,82,0,0,1.21959,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -15 -14 -15 -15 -14 -15 -14 -16 -13 -16 -13 -16 -12 -16 -12 -16 -11 -17 -11 -16 -11 -17 -11 -17 -11 -16 -10 -17 -10 -17 -9 -16 -10 -16 -9 -15 -9 -16 -9 -15 -9 -15 -9 -15 -9 -14 -9 -15 -9 -15 -9 -15 0 0 -10 -14 -10 -13 -10 -13 -10 -13 -10 -13 -10 -13 -11 -12 -11 -12 -11 -12 -12 -12 -11 -11 -12 -11 -12 -11 -13 -11 -12 -10 -13 -11 -12 -10 -13 -10 -13 -10 -13 -10 -14 -10 -14 -10 -13 -9 -14 -9 -14 -9 -15 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-41,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1062589,0,37,0,0,1.24608,128,[37 80 2 0 0 0 0 0 0 0 0 0 -26 4 -26 3 -27 3 -27 2 -27 1 -26 0 -26 0 -26 -1 -26 -1 -26 -2 -26 -2 -26 -3 -25 -3 -25 -3 -24 -3 -25 -2 -23 -3 -23 -3 -22 -3 -22 -2 -22 -2 -23 -3 -22 -2 -22 -2 -23 -1 -22 -1 0 0 -22 0 -22 0 -21 0 -22 1 -20 0 -21 1 -21 2 -21 2 -21 2 -21 2 -21 3 -21 3 -21 4 -21 4 -21 4 -20 4 -21 5 -20 5 -20 6 -20 6 -20 6 -21 6 -21 7 -20 7 -20 7 -20 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,1067212,0,110,0,0,1.25172,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 12 -14 11 -15 11 -16 10 -15 10 -15 10 -15 9 -16 9 -16 8 -16 8 -16 8 -16 8 -16 7 -16 7 -16 7 -16 6 -15 6 -15 6 -15 6 -15 6 -15 6 -15 6 -14 6 -14 6 -14 6 -14 6 0 0 -14 6 -13 6 -13 6 -13 7 -13 7 -13 7 -13 7 -12 7 -12 7 -12 8 -12 8 -12 8 -12 9 -11 9 -11 8 -11 9 -11 9 -11 9 -11 10 -10 10 -11 10 -11 10 -10 10 -10 10 -10 11 -10 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,2020383,0,110,0,0,2.20386,384,[110 96 6 0 0 0 0 0 0 0 0 0 -20 -5 -20 -6 -20 -6 -20 -8 -19 -8 -19 -8 -19 -8 -18 -9 -18 -9 -17 -10 -18 -10 -17 -10 -17 -10 -17 -10 -16 -10 -16 -10 -16 -10 -16 -10 -16 -9 -16 -9 -16 -9 -15 -9 -15 -9 -15 -9 -15 -9 -15 -9 0 0 -15 -8 -15 -7 -15 -7 -15 -7 -15 -6 -15 -7 -15 -6 -15 -6 -15 -5 -16 -5 -15 -5 -16 -4 -16 -4 -16 -4 -16 -4 -16 -3 -16 -3 -16 -3 -16 -2 -16 -2 -16 -2 -16 -2 -17 -2 -17 -2 -16 -2 -16 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3021441,0,110,0,0,3.2049,384,[110 96 6 0 0 0 0 0 0 0 0 0 12 -14 12 -13 13 -13 13 -12 14 -12 13 -11 14 -11 14 -10 15 -10 15 -10 15 -9 15 -9 15 -9 15 -9 14 -9 14 -9 14 -8 14 -8 13 -7 14 -8 13 -8 13 -8 13 -8 13 -7 13 -7 13 -7 0 0 12 -8 12 -8 12 -8 12 -8 11 -8 11 -9 11 -8 11 -9 11 -9 11 -9 11 -9 11 -9 10 -9 10 -10 10 -10 9 -10 10 -11 9 -10 9 -11 9 -11 9 -11 9 -11 9 -11 9 -11 9 -12 9 -12 0 0 0 0 0 0 0 0 0 0 ]
