type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-42,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,40031,0,131,0,0,0.223056,128,[-125 48 8 0 0 0 0 0 0 0 0 0 21 -16 21 -15 23 -15 22 -14 23 -14 22 -12 22 -12 23 -11 23 -11 24 -10 23 -10 24 -9 23 -9 23 -9 22 -9 23 -10 21 -8 22 -9 21 -8 21 -8 21 -8 21 -9 20 -8 20 -9 21 -9 21 -9 0 0 19 -10 20 -10 19 -10 18 -11 17 -10 18 -11 18 -11 17 -11 18 -12 18 -12 17 -13 17 -12 17 -13 17 -13 17 -13 16 -14 17 -15 16 -14 16 -14 16 -15 16 -15 15 -16 16 -16 15 -16 15 -16 15 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-52,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,42921,0,135,0,0,0.229091,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -11 17 -12 16 -12 16 -13 15 -13 16 -13 15 -13 15 -14 14 -14 15 -15 13 -15 13 -15 12 -15 12 -15 12 -15 12 -15 12 -14 12 -14 12 -14 11 -14 12 -14 11 -13 11 -14 11 -13 11 -13 11 -13 11 0 0 -12 11 -12 11 -12 11 -11 12 -11 11 -11 12 -11 12 -10 12 -10 12 -10 12 -10 12 -10 12 -9 13 -9 13 -9 13 -8 13 -8 13 -8 14 -8 14 -8 14 -8 14 -8 14 -8 14 -7 15 -7 14 -7 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-52,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,69581,0,239,0,0,0.252117,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -20 -5 -20 -7 -20 -7 -20 -8 -20 -8 -19 -9 -19 -9 -18 -10 -18 -10 -18 -10 -18 -11 -18 -11 -17 -11 -17 -11 -16 -11 -16 -11 -16 -11 -16 -11 -16 -11 -15 -11 -16 -11 -15 -11 -15 -10 -15 -10 -15 -10 -15 -10 0 0 -15 -10 -15 -9 -14 -8 -15 -8 -15 -8 -15 -8 -15 -8 -15 -8 -15 -7 -16 -7 -15 -7 -16 -6 -16 -6 -16 -6 -16 -6 -16 -6 -16 -5 -16 -5 -16 -5 -16 -5 -16 -5 -16 -5 -17 -4 -17 -4 -17 -4 -17 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,0,0,0,0,-96,0,6,1,1022415,0,82,0,0,1.20521,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -12 -16 -12 -16 -11 -17 -10 -16 -10 -17 -9 -17 -9 -17 -9 -17 -8 -17 -8 -18 -7 -18 -7 -18 -7 -17 -6 -18 -6 -17 -6 -17 -6 -16 -6 -16 -5 -16 -6 -17 -6 -16 -6 -16 -6 -16 -6 -16 -6 -16 -6 -15 0 0 -6 -15 -7 -15 -6 -15 -7 -15 -7 -14 -7 -14 -7 -14 -7 -14 -7 -14 -8 -14 -8 -13 -8 -13 -8 -13 -8 -13 -9 -13 -9 -13 -9 -13 -10 -13 -9 -12 -10 -13 -10 -13 -11 -12 -10 -12 -10 -12 -10 -13 -11 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-44,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1022522,0,37,0,0,1.21153,128,[37 80 2 0 0 0 0 0 0 0 0 0 -23 15 -24 14 -25 14 -25 14 -25 13 -25 11 -26 10 -26 9 -26 9 -26 8 -26 9 -27 8 -26 8 -26 7 -25 7 -26 7 -25 6 -24 6 -24 6 -24 6 -24 5 -24 6 -23 5 -23 6 -24 7 -23 6 0 0 -23 6 -23 7 -22 8 -22 8 -21 7 -22 8 -22 8 -22 8 -22 9 -22 8 -21 10 -21 10 -21 10 -21 10 -21 10 -21 11 -21 11 -21 11 -20 11 -21 11 -21 11 -21 12 -21 12 -21 13 -20 13 -21 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-44,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1054486,0,37,0,0,1.23699,128,[37 80 2 0 0 0 0 0 0 0 0 0 -10 -24 -9 -24 -9 -26 -8 -25 -8 -25 -6 -24 -5 -25 -5 -25 -4 -25 -3 -25 -4 -25 -3 -25 -3 -25 -3 -24 -2 -24 -3 -25 -2 -23 -2 -23 -2 -22 -2 -23 -2 -23 -2 -23 -2 -22 -3 -22 -3 -23 -3 -22 0 0 -3 -22 -4 -22 -4 -21 -4 -22 -4 -21 -4 -21 -5 -21 -5 -21 -5 -21 -5 -22 -6 -21 -6 -20 -7 -20 -7 -21 -7 -21 -7 -21 -7 -21 -7 -21 -7 -20 -8 -21 -8 -21 -8 -21 -8 -21 -9 -21 -9 -21 -9 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-53,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,1058651,0,110,0,0,1.24289,384,[110 96 6 0 0 0 0 0 0 0 0 0 19 -3 19 -2 19 -2 19 -1 19 0 19 0 19 0 19 1 19 1 19 2 18 2 18 2 18 3 18 3 18 3 17 3 17 3 17 3 17 3 17 3 16 3 16 2 16 3 16 2 16 2 16 2 0 0 15 1 16 1 15 1 15 1 15 0 15 0 15 0 15 0 15 0 15 -1 15 -1 15 -1 15 -1 15 -2 15 -2 15 -2 16 -2 15 -3 15 -3 15 -3 16 -3 15 -4 15 -4 15 -4 15 -4 15 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-53,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,2022131,0,110,0,0,2.20476,384,[110 96 6 0 0 0 0 0 0 0 0 0 4 -23 5 -23 6 -22 7 -22 7 -22 7 -22 8 -21 8 -21 9 -21 9 -20 9 -20 9 -20 10 -19 10 -19 10 -18 10 -18 10 -18 10 -17 10 -17 10 -17 10 -17 9 -17 8 -17 9 -16 9 -16 8 -16 0 0 8 -16 8 -16 7 -16 7 -16 7 -16 7 -16 7 -16 6 -16 6 -17 5 -16 5 -17 5 -17 5 -16 4 -17 4 -17 4 -17 4 -17 3 -17 3 -18 3 -18 2 -18 3 -18 2 -18 2 -18 2 -18 2 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-53,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3022805,0,110,0,0,3.20541,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 13 -16 12 -17 12 -17 11 -17 11 -16 10 -17 10 -18 10 -18 9 -19 9 -18 9 -18 7 -19 7 -18 7 -17 7 -18 7 -17 6 -17 7 -16 7 -16 7 -17 7 -16 6 -15 6 -16 6 -16 7 -15 6 0 0 -15 7 -15 7 -15 7 -15 8 -13 7 -14 8 -14 8 -14 8 -13 8 -13 8 -13 9 -13 9 -13 9 -13 9 -12 9 -12 10 -12 10 -11 10 -12 11 -12 11 -12 11 -12 11 -12 11 -11 11 -11 11 -11 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-53,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,4024125,0,110,0,0,4.20671,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 8 17 8 17 9 17 10 17 10 16 10 16 11 16 11 15 12 15 12 15 12 14 12 14 12 14 12 13 12 13 12 13 12 13 12 12 11 12 12 12 12 12 12 12 11 12 11 12 11 12 11 0 0 12 10 12 10 12 10 12 9 12 9 12 9 12 9 12 9 13 9 13 9 13 8 13 7 13 7 13 8 13 7 13 7 14 7 13 6 14 6 14 6 14 7 14 6 15 6 14 6 14 6 14 5 0 0 0 0 0 0 0 0 0 0 ]
