type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-49,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,42567,0,131,0,0,0.22998,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -26 -3 -26 -4 -27 -5 -26 -5 -26 -6 -24 -7 -25 -6 -24 -7 -25 -7 -24 -8 -24 -9 -24 -10 -23 -9 -22 -9 -21 -8 -23 -9 -20 -9 -21 -9 -20 -8 -20 -7 -20 -7 -20 -8 -19 -8 -19 -7 -20 -7 -19 -6 0 0 -19 -5 -19 -5 -18 -5 -19 -4 -17 -4 -18 -3 -19 -2 -18 -2 -18 -1 -19 -2 -18 -2 -18 -1 -18 -1 -18 0 -18 0 -17 0 -18 1 -17 1 -17 2 -17 3 -17 3 -18 3 -18 3 -17 3 -17 4 -17 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-60,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,47739,0,135,0,0,0.236002,384,[-121 112 8 0 0 0 0 0 0 0 0 0 12 -15 12 -15 13 -14 13 -13 14 -14 14 -12 14 -12 14 -12 14 -11 14 -11 14 -11 14 -10 14 -10 14 -9 13 -9 14 -9 13 -9 13 -9 13 -8 13 -9 12 -9 12 -8 12 -9 11 -8 11 -8 11 -8 0 0 11 -9 10 -8 10 -9 9 -9 9 -8 9 -9 9 -9 9 -10 8 -9 8 -10 7 -10 8 -9 7 -10 7 -10 7 -10 6 -10 6 -10 6 -10 6 -11 5 -11 5 -11 5 -11 5 -11 4 -12 4 -11 4 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-60,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,73123,0,239,0,0,0.260047,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 12 15 11 15 10 15 10 16 9 16 9 16 9 16 8 16 8 16 7 16 7 16 7 16 6 16 6 15 6 15 6 15 6 14 6 14 5 14 5 14 5 13 5 13 5 13 5 12 6 12 6 12 0 0 6 11 6 12 6 11 6 11 6 10 6 10 7 10 7 9 7 10 8 9 8 9 8 9 8 8 8 8 8 8 9 7 9 7 9 7 9 7 9 6 9 6 9 6 9 6 10 5 10 5 10 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-61,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,86277,0,239,0,0,0.276487,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 15 -12 15 -11 16 -11 16 -10 16 -10 15 -9 16 -8 16 -8 16 -8 16 -7 16 -7 16 -6 16 -7 15 -6 15 -6 15 -6 14 -5 14 -6 14 -5 14 -5 14 -5 13 -5 13 -5 13 -5 13 -5 12 -5 0 0 11 -6 11 -6 11 -6 11 -6 10 -7 10 -7 10 -6 10 -7 9 -7 9 -7 9 -7 9 -8 9 -8 8 -8 8 -8 8 -8 8 -9 7 -8 7 -9 7 -9 7 -9 7 -9 6 -10 6 -10 6 -10 6 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,0,0,0,0,-95,0,6,1,1022524,0,82,0,0,1.20963,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -19 -5 -18 -6 -19 -6 -18 -7 -18 -7 -17 -7 -17 -8 -17 -8 -16 -9 -16 -9 -15 -9 -16 -9 -15 -10 -14 -9 -14 -9 -14 -9 -14 -9 -14 -9 -13 -9 -13 -9 -13 -8 -12 -8 -13 -8 -12 -8 -12 -8 -12 -7 0 0 -11 -7 -12 -6 -12 -6 -12 -6 -12 -6 -11 -5 -11 -5 -12 -5 -12 -4 -12 -4 -12 -4 -12 -4 -12 -3 -12 -4 -12 -3 -12 -3 -12 -2 -12 -2 -11 -1 -12 -1 -12 -1 -11 -1 -12 -1 -12 -1 -12 0 -12 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1022640,0,37,0,0,1.21578,128,[37 80 2 0 0 0 0 0 0 0 0 0 -24 -12 -24 -13 -24 -14 -24 -14 -22 -15 -21 -15 -21 -15 -21 -15 -20 -16 -20 -17 -19 -17 -19 -17 -18 -17 -18 -17 -17 -16 -18 -16 -16 -16 -16 -15 -16 -15 -16 -14 -16 -14 -16 -14 -15 -13 -15 -13 -16 -14 -16 -13 0 0 -16 -11 -16 -11 -15 -11 -15 -10 -15 -9 -16 -9 -16 -9 -16 -8 -16 -8 -16 -8 -16 -8 -15 -7 -16 -7 -16 -6 -16 -6 -16 -6 -17 -5 -16 -5 -16 -4 -17 -3 -16 -3 -17 -3 -17 -2 -17 -3 -17 -2 -16 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,1057558,0,37,0,0,1.24451,128,[37 80 2 0 0 0 0 0 0 0 0 0 -7 -27 -6 -26 -6 -28 -4 -27 -4 -27 -3 -26 -3 -26 -2 -26 -2 -27 0 -26 0 -26 1 -26 1 -25 1 -25 1 -23 0 -25 1 -23 0 -23 1 -22 0 -21 0 -21 0 -22 0 -21 0 -20 -1 -21 -1 -20 0 0 -2 -20 -3 -20 -3 -18 -3 -19 -3 -17 -4 -18 -5 -18 -5 -17 -5 -17 -5 -17 -5 -17 -5 -16 -6 -16 -6 -16 -7 -16 -7 -16 -8 -16 -7 -15 -8 -14 -9 -14 -9 -15 -10 -15 -10 -14 -10 -14 -10 -14 -10 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-62,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,1063103,0,110,0,0,1.25031,384,[110 96 6 0 0 0 0 0 0 0 0 0 16 -10 16 -10 17 -9 17 -8 17 -8 17 -8 17 -7 17 -7 17 -6 17 -6 16 -5 17 -5 16 -5 16 -5 16 -4 15 -4 16 -4 15 -4 14 -4 14 -4 14 -4 14 -4 13 -5 13 -4 13 -4 13 -5 0 0 12 -5 12 -5 12 -5 11 -5 11 -5 11 -6 10 -6 10 -6 10 -6 9 -7 9 -7 9 -7 9 -7 9 -8 9 -8 8 -8 8 -8 8 -8 8 -8 7 -9 7 -10 6 -9 6 -10 6 -9 6 -10 6 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,1,0,0,0,-94,1,6,1,2028756,0,110,0,0,2.21577,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 -12 15 -11 16 -11 16 -10 16 -10 15 -9 16 -9 16 -9 16 -8 16 -8 16 -8 16 -7 16 -7 15 -7 15 -7 15 -6 14 -6 14 -6 14 -6 14 -6 14 -6 13 -6 13 -6 13 -6 13 -6 12 -6 0 0 12 -7 11 -7 11 -7 11 -7 10 -7 10 -7 10 -8 9 -8 9 -8 9 -9 9 -8 8 -9 8 -9 7 -9 7 -9 7 -9 7 -10 7 -10 6 -9 6 -10 6 -10 5 -10 5 -11 5 -11 5 -11 4 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,1,0,0,0,-94,1,6,1,3023545,0,110,0,0,3.21054,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 11 15 12 14 12 14 13 13 13 13 13 12 13 12 14 12 14 11 14 10 14 10 14 10 14 9 14 9 13 9 13 9 13 9 13 8 12 8 12 8 12 8 12 8 11 8 11 8 11 8 11 0 0 8 10 8 9 8 9 8 8 8 9 8 8 8 8 8 7 9 7 9 7 9 7 9 7 9 6 9 6 9 6 9 5 10 5 10 5 10 5 10 4 10 4 10 4 10 4 10 3 11 3 10 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,1,0,0,0,-94,1,6,1,4022900,0,110,0,0,4.20989,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 18 4 18 3 19 2 19 2 18 2 18 1 18 1 18 0 18 0 18 0 18 -1 17 -1 17 -1 17 -1 17 -1 16 -1 16 -1 15 -1 15 -1 15 -1 15 -1 14 0 14 -1 14 -1 14 0 13 0 0 1 13 0 12 0 13 1 12 1 12 2 12 2 11 2 11 3 11 2 10 3 11 3 11 3 11 4 11 4 10 4 10 5 10 5 10 6 10 6 9 6 9 6 9 6 9 6 9 6 8 7 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,1,0,0,0,-94,1,6,1,5028056,0,110,0,0,5.21511,384,[110 96 6 0 0 0 0 0 0 0 0 0 -17 9 -18 8 -18 7 -19 7 -18 6 -18 6 -19 5 -18 5 -18 5 -18 4 -18 3 -18 3 -18 3 -17 3 -17 3 -17 2 -17 2 -16 2 -16 2 -16 2 -15 2 -15 2 -15 2 -15 2 -14 3 -14 3 0 0 -13 3 -13 3 -13 3 -13 3 -12 4 -12 4 -12 4 -12 4 -11 4 -11 5 -11 5 -11 5 -11 6 -10 6 -10 6 -10 6 -10 6 -9 7 -9 7 -9 7 -9 7 -9 7 -9 8 -8 8 -8 8 -8 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,1,0,0,0,-94,1,6,1,6031794,0,110,0,0,6.21897,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 6 17 6 17 6 17 7 16 7 16 8 15 8 15 8 15 8 14 9 14 9 14 10 13 10 13 9 13 9 12 9 12 9 12 9 11 8 12 8 11 8 11 8 11 8 11 8 10 7 10 7 0 0 10 6 11 6 10 6 11 5 10 5 10 5 11 5 11 4 11 4 11 4 10 4 10 4 10 3 11 2 11 2 10 2 11 2 11 1 11 1 11 1 10 0 11 0 11 0 10 0 10 0 10 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,1,0,0,0,-94,1,6,1,7043824,0,110,0,0,7.23078,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 19 -4 18 -5 19 -5 18 -5 19 -6 18 -6 18 -7 17 -6 17 -7 16 -8 16 -8 15 -8 15 -8 15 -8 15 -7 15 -7 14 -7 14 -7 13 -7 14 -7 13 -7 13 -6 13 -6 12 -6 12 -6 12 0 0 -5 12 -5 12 -4 12 -4 12 -4 12 -3 12 -3 11 -3 11 -2 11 -2 12 -2 11 -2 12 -1 11 -1 11 -1 11 0 11 0 11 0 11 1 11 1 11 1 11 1 11 2 11 2 11 2 10 3 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,1,0,0,0,-94,1,6,1,8031917,0,110,0,0,8.21888,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 11 14 11 15 12 13 12 14 13 13 13 13 12 12 13 12 13 11 14 10 14 10 13 9 14 9 13 9 13 9 13 9 12 9 12 8 12 9 12 9 11 9 11 8 11 8 11 8 11 8 10 0 0 9 9 8 9 8 9 9 8 8 8 9 8 9 8 9 7 9 7 9 7 9 6 9 7 10 6 9 5 10 5 10 5 10 5 10 4 11 4 10 3 10 3 10 3 10 3 10 3 10 2 10 2 0 0 0 0 0 0 0 0 0 0 ]
