type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-40,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,37269,0,131,0,0,0.221327,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -9 24 -10 23 -11 24 -11 23 -12 23 -13 21 -13 21 -14 20 -14 21 -15 20 -14 21 -15 20 -15 20 -14 20 -14 18 -14 20 -14 18 -14 18 -14 17 -14 17 -14 17 -14 17 -13 16 -12 17 -12 18 -12 17 0 0 -12 17 -11 18 -10 17 -10 18 -10 17 -10 17 -10 18 -10 17 -9 18 -9 18 -8 19 -8 18 -7 19 -8 19 -7 19 -7 19 -7 20 -6 19 -6 19 -6 19 -6 19 -6 20 -5 20 -5 20 -4 20 -4 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,39709,0,135,0,0,0.227323,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -7 -20 -5 -19 -5 -21 -5 -20 -4 -21 -4 -20 -3 -20 -2 -20 -3 -20 -2 -20 -1 -20 -1 -20 0 -20 0 -19 0 -19 -1 -19 -1 -18 -1 -19 0 -18 0 -18 0 -18 -1 -18 -1 -18 0 -17 -1 -17 -1 -17 0 0 -1 -16 -2 -17 -2 -16 -2 -17 -2 -16 -2 -16 -2 -16 -3 -16 -4 -16 -4 -16 -4 -16 -4 -15 -4 -16 -4 -16 -5 -16 -6 -15 -5 -16 -6 -15 -6 -15 -7 -15 -6 -16 -7 -15 -7 -16 -7 -15 -7 -15 -7 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,68410,0,239,0,0,0.251993,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 12 -17 13 -16 13 -16 14 -15 14 -15 14 -14 14 -13 15 -13 15 -13 15 -13 15 -12 15 -12 15 -12 15 -12 15 -11 15 -11 14 -11 14 -11 14 -11 14 -10 14 -10 14 -10 13 -10 13 -11 13 -10 13 -11 0 0 12 -11 12 -11 12 -11 11 -11 11 -11 11 -11 11 -11 10 -12 10 -12 9 -12 9 -13 9 -13 9 -13 9 -13 9 -13 9 -13 8 -14 8 -14 8 -14 7 -14 7 -15 8 -15 7 -15 6 -15 6 -15 6 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-42,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1024775,0,37,0,0,1.20866,128,[37 80 2 0 0 0 0 0 0 0 0 0 -25 -7 -25 -8 -25 -9 -25 -9 -24 -10 -23 -11 -23 -11 -22 -12 -23 -12 -22 -13 -22 -12 -22 -14 -21 -13 -21 -13 -20 -13 -21 -13 -19 -12 -19 -12 -18 -12 -19 -12 -18 -12 -19 -12 -18 -12 -19 -11 -19 -11 -19 -11 0 0 -18 -10 -19 -9 -19 -9 -19 -9 -18 -9 -19 -8 -19 -8 -19 -8 -19 -7 -19 -8 -20 -6 -19 -6 -19 -6 -19 -6 -20 -5 -20 -5 -20 -5 -19 -5 -19 -4 -20 -4 -20 -4 -20 -4 -20 -4 -20 -3 -20 -3 -20 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-53,11,1,7,1,1,1,0,0,0,0,-96,0,6,1,1025078,0,82,0,0,1.21503,384,[82 -96 4 0 0 0 0 0 0 0 0 0 8 18 7 18 7 18 6 18 6 19 5 18 5 18 4 18 4 18 3 18 3 18 3 19 2 18 2 18 2 17 2 17 2 17 2 17 2 16 2 17 2 17 2 16 2 16 2 16 2 15 2 15 0 0 3 15 3 15 3 14 4 14 4 14 4 14 4 14 4 14 5 13 5 14 5 13 5 14 6 13 6 13 6 13 6 13 7 13 7 12 8 12 7 12 8 13 8 12 8 13 8 12 9 12 9 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-42,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1057161,0,37,0,0,1.24074,128,[37 80 2 0 0 0 0 0 0 0 0 0 14 21 13 21 13 22 12 22 12 22 10 22 9 22 9 22 9 23 8 23 8 23 8 23 7 22 8 22 7 21 8 22 6 21 6 21 6 20 6 20 6 20 6 20 6 19 7 19 8 20 7 19 0 0 7 18 8 18 8 18 9 17 8 16 9 17 9 17 9 16 10 16 10 17 10 16 10 16 11 16 11 16 11 15 11 15 12 15 12 15 12 15 12 15 12 15 12 15 13 14 14 14 14 14 14 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-53,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,1058653,0,110,0,0,1.2459,384,[110 96 6 0 0 0 0 0 0 0 0 0 -19 -10 -18 -10 -18 -10 -17 -11 -18 -11 -17 -12 -16 -12 -16 -12 -16 -13 -16 -13 -15 -13 -15 -13 -15 -13 -14 -13 -14 -13 -14 -13 -14 -13 -14 -12 -13 -12 -13 -12 -13 -12 -13 -12 -13 -12 -13 -11 -13 -11 -13 -11 0 0 -13 -10 -13 -10 -13 -10 -13 -9 -13 -9 -13 -9 -13 -9 -14 -9 -14 -8 -14 -8 -14 -7 -14 -7 -14 -7 -14 -7 -15 -6 -15 -6 -15 -6 -15 -6 -15 -5 -15 -5 -15 -5 -16 -5 -15 -4 -15 -4 -16 -4 -16 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-52,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,2021793,0,110,0,0,2.20546,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 8 16 8 16 10 16 10 16 11 16 11 15 11 14 11 14 12 14 12 14 12 14 12 13 12 13 12 12 12 12 13 12 12 12 12 11 12 12 12 11 12 11 11 11 11 11 11 11 11 11 10 0 0 11 10 11 10 11 10 11 10 11 9 11 9 11 9 11 9 11 9 12 8 12 8 12 8 12 8 12 8 12 7 13 7 13 8 13 7 13 8 13 7 13 7 13 7 14 6 14 6 14 6 14 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-52,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3024150,0,110,0,0,3.2078,384,[110 96 6 0 0 0 0 0 0 0 0 0 -9 -19 -8 -19 -7 -20 -6 -20 -6 -19 -6 -20 -5 -19 -4 -20 -4 -19 -4 -20 -3 -19 -3 -19 -2 -19 -3 -19 -2 -19 -2 -18 -2 -18 -2 -18 -2 -18 -2 -18 -2 -17 -2 -18 -2 -17 -2 -17 -2 -17 -3 -16 0 0 -3 -16 -3 -16 -3 -16 -4 -16 -4 -15 -4 -16 -4 -16 -4 -15 -5 -15 -5 -15 -6 -15 -5 -14 -6 -15 -6 -15 -7 -15 -7 -15 -7 -14 -7 -14 -7 -14 -8 -14 -8 -14 -9 -14 -8 -14 -8 -14 -9 -14 -9 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-52,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,4022879,0,110,0,0,4.2065,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 -14 -15 -14 -15 -15 -14 -15 -14 -16 -13 -16 -13 -16 -13 -16 -12 -17 -12 -17 -11 -17 -11 -16 -10 -16 -10 -16 -10 -16 -10 -17 -10 -16 -10 -16 -9 -15 -9 -15 -9 -15 -9 -15 -10 -15 -9 -14 -9 -15 -9 -14 0 0 -9 -14 -10 -14 -9 -13 -10 -14 -10 -13 -10 -13 -10 -12 -10 -12 -11 -12 -12 -12 -11 -11 -12 -11 -11 -11 -12 -11 -12 -11 -12 -11 -12 -11 -12 -10 -12 -10 -13 -10 -13 -10 -13 -10 -14 -9 -13 -9 -14 -9 -14 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-52,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,5025254,0,110,0,0,5.20895,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 19 -5 19 -6 19 -6 18 -7 19 -7 18 -7 18 -8 17 -8 18 -9 17 -9 17 -9 17 -9 16 -10 16 -9 16 -9 15 -9 15 -9 15 -9 14 -9 15 -9 15 -9 14 -9 14 -9 14 -8 14 -8 14 0 0 -8 14 -7 14 -7 14 -6 14 -6 14 -6 14 -6 14 -6 14 -6 14 -5 14 -5 14 -5 14 -4 14 -5 14 -4 15 -3 15 -3 15 -3 15 -3 15 -3 15 -3 15 -3 15 -2 15 -2 15 -2 15 -1 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-53,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,6032157,0,110,0,0,6.2158,384,[110 96 6 0 0 0 0 0 0 0 0 0 19 0 19 1 19 2 19 3 19 3 19 3 19 4 18 4 18 5 17 5 17 5 17 5 17 5 17 5 16 5 16 6 16 6 16 5 15 6 16 5 15 5 15 5 15 5 15 4 15 4 15 4 0 0 14 4 14 4 15 4 14 3 14 3 14 2 14 2 14 2 14 2 14 1 15 1 14 1 14 0 14 0 14 0 15 0 15 0 14 -1 15 -1 14 -1 15 -1 15 -2 15 -2 15 -2 15 -2 15 -2 0 0 0 0 0 0 0 0 0 0 ]
