type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-50,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,31501,0,131,0,0,0.214892,128,[-125 48 8 0 0 0 0 0 0 0 0 0 26 -12 26 -11 28 -11 26 -10 28 -9 25 -8 26 -8 26 -7 27 -7 27 -6 26 -5 27 -5 26 -4 26 -4 24 -4 26 -4 23 -3 24 -4 23 -3 23 -4 22 -4 23 -4 22 -4 22 -4 23 -4 22 -5 0 0 21 -5 22 -6 20 -6 21 -7 18 -6 20 -7 20 -8 19 -8 19 -8 20 -8 19 -8 19 -8 19 -8 19 -9 19 -9 18 -9 19 -11 17 -10 18 -10 18 -11 17 -11 18 -12 19 -12 17 -12 18 -12 18 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-61,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,33785,0,135,0,0,0.220728,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -4 15 -4 13 -5 15 -5 14 -6 15 -5 13 -5 14 -6 13 -6 13 -7 13 -6 13 -7 12 -7 12 -7 12 -7 12 -7 12 -6 11 -7 12 -7 11 -6 11 -7 11 -6 11 -6 11 -7 11 -6 11 -6 10 0 0 -5 10 -5 11 -6 10 -5 11 -4 10 -4 11 -3 10 -5 11 -4 10 -5 11 -4 10 -3 10 -3 10 -2 10 -3 12 -2 10 -3 11 -2 10 -2 10 -2 11 -1 11 -2 11 -2 12 -2 11 -1 11 -1 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-61,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,62220,0,239,0,0,0.245139,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 3 -17 3 -18 4 -17 5 -18 5 -17 5 -17 5 -17 5 -16 6 -17 7 -16 7 -15 7 -15 7 -15 8 -15 7 -15 6 -14 7 -14 7 -13 7 -14 7 -14 6 -14 6 -13 6 -13 7 -13 7 -12 6 -13 0 0 5 -13 5 -13 5 -13 5 -13 5 -13 4 -12 4 -13 4 -13 3 -13 3 -13 3 -13 3 -13 3 -13 3 -13 2 -13 2 -13 2 -13 2 -14 1 -13 1 -14 0 -13 0 -14 1 -14 1 -14 1 -13 0 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1023376,0,37,0,0,1.2066,128,[37 80 2 0 0 0 0 0 0 0 0 0 16 -19 16 -18 17 -18 18 -17 18 -17 17 -15 18 -15 18 -15 18 -15 19 -14 19 -14 19 -14 18 -13 19 -13 18 -13 18 -14 17 -12 17 -12 17 -12 17 -12 16 -11 17 -12 16 -12 15 -12 16 -13 16 -13 0 0 15 -13 15 -13 14 -13 14 -13 13 -12 13 -14 13 -14 13 -13 13 -15 13 -14 12 -14 12 -14 12 -15 12 -15 11 -15 11 -15 11 -16 10 -15 11 -15 10 -16 10 -16 10 -17 10 -17 9 -17 9 -17 9 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,0,0,0,0,-96,0,6,1,1023868,0,82,0,0,1.21274,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 15 -6 15 -7 15 -7 15 -8 15 -7 14 -8 14 -8 14 -8 13 -9 13 -9 13 -9 13 -10 12 -9 12 -9 12 -9 12 -8 11 -8 11 -9 11 -8 11 -9 11 -9 11 -8 11 -9 11 -9 10 -8 10 0 0 -7 11 -7 11 -7 10 -7 11 -7 11 -6 10 -6 11 -6 11 -6 11 -6 11 -6 12 -6 11 -5 11 -6 11 -5 11 -4 12 -5 12 -4 12 -4 12 -4 12 -4 12 -4 12 -4 12 -4 12 -3 12 -3 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1057709,0,37,0,0,1.24061,128,[37 80 2 0 0 0 0 0 0 0 0 0 -10 -27 -8 -27 -8 -28 -7 -28 -6 -28 -5 -27 -4 -27 -4 -27 -4 -28 -3 -28 -3 -27 -3 -29 -3 -27 -3 -27 -2 -26 -2 -26 -2 -25 -1 -25 -1 -23 -1 -24 -1 -23 -1 -25 -2 -23 -2 -23 -3 -24 -3 -23 0 0 -3 -23 -4 -23 -4 -22 -4 -23 -4 -21 -5 -22 -5 -22 -5 -21 -6 -22 -6 -21 -7 -21 -6 -21 -7 -21 -7 -21 -7 -21 -7 -21 -8 -21 -8 -21 -7 -20 -8 -21 -8 -21 -9 -21 -9 -21 -10 -20 -10 -20 -10 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,1061013,0,110,0,0,1.24654,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 -4 14 -4 14 -3 14 -3 15 -3 14 -2 14 -2 14 -1 14 -1 14 -1 14 -1 13 0 14 0 14 0 14 0 13 0 13 0 12 0 13 0 13 0 13 0 12 0 12 0 12 0 12 0 12 0 0 0 12 -1 12 -1 12 -1 11 -1 11 -1 11 -1 11 -1 11 -2 11 -2 11 -3 11 -3 11 -3 11 -3 11 -3 10 -3 11 -4 11 -4 11 -4 11 -4 11 -5 11 -4 11 -5 11 -5 11 -5 11 -5 11 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,2023905,0,110,0,0,2.20689,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 -15 8 -15 9 -15 9 -15 10 -15 9 -14 10 -13 9 -13 10 -13 11 -13 10 -12 11 -12 11 -11 11 -11 11 -11 10 -11 10 -11 9 -11 10 -11 10 -10 10 -10 10 -11 9 -10 9 -10 9 -10 9 -10 0 0 8 -10 8 -10 8 -10 8 -11 8 -10 7 -10 7 -10 7 -11 6 -11 6 -11 6 -11 6 -11 6 -11 6 -11 6 -11 5 -11 6 -12 5 -12 5 -12 4 -12 4 -12 4 -12 5 -13 4 -12 4 -12 4 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3023986,0,110,0,0,3.20695,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 9 11 10 10 10 10 11 9 11 9 10 8 11 8 11 8 11 8 11 8 11 8 11 7 12 7 12 7 11 7 11 6 11 7 11 6 11 6 11 6 11 6 10 6 10 6 10 6 11 6 10 0 0 6 10 6 10 6 10 6 9 7 9 6 9 7 9 7 9 7 9 7 8 8 8 7 8 8 9 8 8 8 8 8 8 9 8 8 7 9 8 9 7 9 7 9 8 10 8 9 7 9 7 9 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-63,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,4023183,0,110,0,0,4.20613,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -12 -13 -12 -13 -12 -12 -13 -12 -13 -11 -13 -11 -13 -11 -13 -10 -14 -10 -14 -10 -14 -9 -13 -9 -14 -8 -14 -9 -13 -9 -13 -8 -13 -8 -12 -8 -13 -8 -13 -8 -13 -8 -13 -8 -12 -8 -12 -8 -12 -8 -12 0 0 -8 -11 -8 -11 -9 -10 -8 -11 -9 -10 -8 -10 -9 -10 -9 -10 -9 -9 -10 -9 -9 -9 -10 -9 -10 -9 -10 -9 -10 -8 -10 -8 -10 -8 -10 -8 -11 -7 -11 -7 -11 -7 -11 -7 -11 -8 -11 -7 -11 -7 -11 -6 0 0 0 0 0 0 0 0 0 0 ]
