type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-47,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,38198,0,131,0,0,0.222875,128,[-125 48 8 0 0 0 0 0 0 0 0 0 2 -25 2 -24 3 -25 3 -25 4 -25 5 -22 6 -23 6 -22 7 -23 7 -23 7 -22 8 -23 7 -22 7 -22 7 -20 7 -22 8 -20 7 -20 7 -19 7 -19 7 -19 7 -20 7 -19 6 -19 6 -20 6 -19 0 0 6 -19 5 -19 5 -18 4 -19 4 -17 4 -19 4 -19 4 -18 3 -19 3 -19 2 -18 2 -18 1 -18 2 -18 1 -18 1 -18 0 -19 1 -18 1 -18 0 -18 0 -18 -1 -19 0 -19 -1 -18 -1 -18 -1 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-58,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,38957,0,135,0,0,0.228436,384,[-121 112 8 0 0 0 0 0 0 0 0 0 12 12 12 12 11 13 11 13 11 13 10 13 10 13 9 13 9 13 9 14 8 13 8 14 8 14 8 14 8 14 8 14 7 13 8 13 7 13 7 13 7 13 7 12 6 12 7 11 7 12 7 11 0 0 7 11 7 11 8 11 7 10 7 10 8 9 8 10 8 9 8 9 8 9 8 9 8 8 9 9 9 8 9 8 9 8 10 8 9 8 10 7 10 7 10 7 10 7 10 7 10 6 10 6 10 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-58,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,64552,0,239,0,0,0.248891,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -3 -18 -2 -18 -2 -18 -1 -18 -1 -18 0 -18 0 -18 1 -18 1 -18 1 -17 2 -17 2 -17 2 -17 2 -17 2 -17 2 -16 3 -15 2 -16 3 -16 3 -15 3 -15 3 -15 2 -15 2 -15 2 -15 2 -14 0 0 2 -14 1 -14 1 -14 1 -14 0 -13 1 -14 0 -14 0 -13 0 -14 -1 -14 -1 -13 -1 -13 -1 -13 -2 -13 -2 -13 -2 -13 -2 -13 -2 -13 -2 -13 -2 -13 -3 -13 -3 -13 -3 -13 -4 -13 -4 -13 -4 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-58,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,65998,0,239,0,0,0.254648,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -7 -17 -7 -17 -6 -17 -6 -17 -5 -18 -5 -17 -4 -17 -4 -17 -4 -17 -3 -17 -3 -17 -2 -17 -2 -17 -2 -17 -2 -17 -2 -17 -2 -16 -2 -16 -1 -16 -1 -16 -1 -16 -2 -16 -1 -15 -1 -15 -1 -15 -2 -15 0 0 -2 -15 -2 -15 -2 -14 -3 -14 -2 -14 -3 -14 -3 -14 -3 -13 -3 -14 -4 -13 -4 -13 -4 -13 -4 -13 -4 -13 -5 -13 -5 -13 -5 -13 -5 -13 -5 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-49,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1024586,0,37,0,0,1.20923,128,[37 80 2 0 0 0 0 0 0 0 0 0 19 16 18 17 19 18 18 18 18 19 16 18 16 19 15 19 16 19 14 21 14 20 14 21 13 20 13 20 12 19 14 20 12 18 12 19 11 18 12 18 11 17 12 18 11 18 11 17 12 18 12 17 0 0 12 16 13 16 13 15 13 15 12 14 13 14 13 14 13 14 14 13 13 14 14 14 13 13 14 13 14 12 15 12 14 12 16 12 14 11 15 11 15 11 15 11 16 10 16 11 16 10 15 10 15 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-60,11,1,7,1,1,1,0,0,0,0,-96,0,6,1,1025076,0,82,0,0,1.21496,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -18 7 -17 10 -19 6 -18 5 -18 7 -19 5 -20 3 -19 4 -19 4 -19 2 -18 3 -18 3 -19 2 -18 2 -18 2 -18 3 -17 2 -16 3 -17 2 -17 2 -17 2 -17 2 -16 2 -16 2 -16 2 -16 3 0 0 -15 3 -15 3 -15 3 -14 4 -14 4 -14 4 -14 4 -14 4 -13 5 -14 5 -13 5 -13 6 -13 6 -13 6 -12 7 -12 7 -12 7 -12 7 -12 8 -12 7 -12 8 -11 8 -12 8 -11 8 -11 8 -11 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-49,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1056213,0,37,0,0,1.2405,128,[37 80 2 0 0 0 0 0 0 0 0 0 15 22 14 21 15 23 13 22 14 23 11 21 12 23 10 22 11 23 9 24 9 24 8 24 8 24 8 23 7 21 10 23 7 21 8 22 7 21 8 21 7 20 9 21 7 21 8 20 8 20 8 19 0 0 8 19 10 19 10 17 10 18 9 16 10 17 10 17 10 16 11 16 10 17 11 17 10 16 11 16 11 15 13 15 12 14 14 15 12 14 13 14 13 14 13 14 14 13 14 14 14 13 14 13 14 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-60,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,1060629,0,110,0,0,1.24578,384,[110 96 6 0 0 0 0 0 0 0 0 0 16 4 16 5 16 5 16 6 16 6 15 7 15 7 15 8 15 8 14 8 14 9 14 9 13 9 14 9 13 9 13 8 12 8 12 8 12 8 12 8 12 8 12 8 11 8 11 8 11 8 11 7 0 0 11 7 11 6 11 6 11 5 11 5 11 5 11 5 11 5 12 5 11 4 11 4 11 4 12 4 12 4 12 3 12 3 12 3 12 3 12 2 12 2 12 2 12 2 12 2 12 2 12 2 12 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-60,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,2020669,0,110,0,0,2.20511,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 -17 -7 -17 -7 -17 -6 -17 -6 -17 -5 -17 -4 -17 -4 -17 -4 -17 -4 -17 -4 -17 -3 -17 -3 -17 -3 -17 -3 -17 -2 -16 -2 -16 -3 -16 -2 -15 -2 -15 -2 -15 -2 -16 -3 -15 -2 -15 -2 -15 -3 -15 0 0 -3 -14 -3 -14 -3 -14 -3 -14 -4 -13 -4 -14 -3 -13 -4 -13 -4 -13 -5 -13 -5 -12 -5 -12 -6 -12 -6 -12 -5 -12 -6 -12 -6 -12 -6 -12 -6 -11 -7 -12 -7 -11 -7 -12 -7 -11 -7 -11 -7 -11 -7 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-61,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,3025009,0,110,0,0,3.20941,384,[110 96 6 0 0 0 0 0 0 0 0 0 4 -18 4 -17 5 -18 5 -17 6 -17 6 -16 7 -16 7 -16 7 -16 7 -16 8 -15 8 -15 8 -15 8 -15 7 -14 8 -15 7 -14 7 -14 7 -13 7 -14 7 -14 7 -14 7 -13 6 -13 7 -13 6 -13 0 0 5 -13 5 -13 5 -13 5 -13 4 -13 5 -13 5 -13 4 -13 4 -13 3 -13 3 -13 3 -13 3 -13 2 -13 2 -13 2 -13 2 -14 1 -13 1 -13 1 -13 0 -13 0 -13 1 -13 0 -13 0 -13 0 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-61,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,4029577,0,110,0,0,4.21396,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -18 2 -18 3 -18 3 -18 3 -18 3 -17 4 -17 4 -17 5 -17 5 -17 5 -16 5 -16 5 -16 5 -16 5 -16 6 -15 5 -15 5 -15 5 -15 5 -15 5 -15 5 -14 4 -14 4 -14 4 -14 4 -14 0 0 3 -14 4 -14 4 -14 3 -13 2 -13 2 -13 3 -13 2 -13 2 -13 1 -13 1 -13 0 -13 0 -13 0 -13 0 -13 0 -13 -1 -13 -1 -13 -1 -13 -1 -13 -2 -13 -2 -13 -2 -13 -3 -13 -3 -13 -3 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-61,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,5024056,0,110,0,0,5.20851,384,[110 96 6 0 0 0 0 0 0 0 0 0 6 18 6 18 4 19 4 18 4 19 4 18 3 18 3 18 3 18 2 18 1 18 0 18 0 18 0 18 0 18 0 17 0 17 1 17 1 17 1 16 0 17 1 16 1 15 0 15 0 15 1 15 0 0 1 15 1 15 2 15 2 14 2 14 3 14 3 14 3 14 3 14 3 14 3 14 3 13 4 13 4 13 4 13 5 13 5 13 5 13 6 13 6 12 6 13 6 12 6 12 7 12 6 12 6 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-61,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,6031857,0,110,0,0,6.21625,384,[110 96 6 0 0 0 0 0 0 0 0 0 -18 2 -18 2 -18 1 -18 1 -18 1 -17 0 -18 -1 -18 -1 -18 -1 -18 -2 -17 -2 -17 -2 -17 -2 -17 -2 -16 -2 -17 -3 -16 -3 -16 -3 -15 -3 -16 -3 -16 -3 -15 -3 -15 -3 -15 -2 -15 -3 -14 -2 0 0 -14 -2 -15 -2 -14 -1 -14 -1 -14 -1 -14 -1 -14 -1 -14 -1 -13 0 -13 0 -13 0 -14 0 -13 1 -13 1 -13 1 -13 1 -13 2 -13 2 -13 2 -13 2 -13 2 -13 2 -13 3 -13 3 -13 3 -12 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-61,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,7033193,0,110,0,0,7.21778,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 7 -16 6 -17 5 -18 5 -17 5 -17 4 -16 3 -17 3 -16 3 -17 3 -16 2 -17 2 -17 2 -17 2 -17 1 -16 1 -16 1 -15 1 -16 1 -15 1 -15 1 -15 1 -14 1 -14 1 -15 1 -14 1 0 0 -14 1 -14 1 -14 2 -13 2 -13 2 -13 2 -13 2 -13 2 -13 3 -13 3 -13 3 -13 3 -13 4 -13 4 -12 4 -12 4 -11 4 -12 4 -12 5 -11 4 -12 5 -12 5 -11 5 -11 6 -11 5 -11 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-61,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,8028575,0,110,0,0,8.21295,384,[110 96 6 0 0 0 0 0 0 0 0 0 -15 9 -16 8 -16 8 -17 7 -17 7 -17 6 -16 6 -16 5 -17 5 -17 5 -17 4 -16 5 -17 4 -17 4 -16 4 -16 3 -16 3 -15 3 -16 3 -16 3 -15 3 -15 3 -14 3 -15 4 -15 3 -14 4 0 0 -14 4 -13 4 -13 4 -13 4 -13 4 -13 4 -13 4 -12 5 -12 5 -12 5 -12 5 -12 6 -12 6 -12 6 -11 6 -11 7 -11 6 -11 7 -11 7 -10 7 -10 7 -11 7 -10 8 -10 8 -10 8 -9 8 0 0 0 0 0 0 0 0 0 0 ]
