type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-42,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,35642,0,131,0,0,0.219561,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -19 17 -20 16 -21 16 -21 16 -22 15 -21 13 -22 13 -22 12 -23 12 -23 12 -22 11 -23 12 -23 11 -22 11 -22 10 -22 10 -22 9 -21 9 -21 9 -21 9 -20 9 -21 9 -20 8 -19 9 -20 10 -20 9 0 0 -19 10 -19 10 -19 10 -19 10 -17 9 -18 10 -18 11 -18 10 -18 11 -18 11 -17 12 -17 12 -17 12 -17 12 -17 12 -17 12 -16 13 -16 13 -16 13 -16 13 -16 13 -16 14 -16 14 -15 14 -15 14 -15 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-52,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,41295,0,135,0,0,0.225603,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -23 -7 -23 -7 -23 -8 -22 -8 -22 -8 -22 -9 -21 -10 -21 -11 -20 -11 -20 -11 -20 -11 -20 -11 -20 -11 -19 -11 -18 -11 -19 -11 -18 -11 -18 -11 -18 -10 -18 -11 -17 -10 -17 -11 -17 -10 -17 -9 -17 -9 -17 -9 0 0 -16 -9 -17 -9 -16 -8 -17 -8 -17 -7 -17 -8 -17 -7 -17 -7 -16 -6 -17 -6 -17 -5 -18 -5 -18 -4 -17 -5 -18 -4 -18 -4 -17 -3 -17 -4 -17 -3 -18 -3 -17 -3 -18 -3 -18 -2 -18 -1 -18 -1 -18 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-52,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,65753,0,239,0,0,0.249201,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -24 1 -24 1 -25 0 -24 -1 -24 -1 -23 -2 -23 -2 -23 -3 -23 -3 -23 -4 -22 -4 -22 -4 -22 -4 -22 -4 -22 -4 -22 -5 -21 -5 -21 -5 -20 -4 -20 -4 -20 -3 -20 -3 -19 -4 -19 -3 -19 -3 -19 -3 0 0 -19 -2 -19 -2 -19 -2 -19 -1 -18 -1 -18 -1 -18 0 -18 0 -18 0 -18 0 -18 0 -18 1 -19 2 -18 2 -18 2 -18 2 -18 3 -17 3 -18 3 -17 3 -18 4 -18 4 -18 4 -17 5 -17 5 -17 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-44,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1021261,0,37,0,0,1.20499,128,[37 80 2 0 0 0 0 0 0 0 0 0 14 20 13 20 13 21 12 21 12 22 10 21 10 21 9 21 10 22 9 22 9 22 8 22 8 22 8 22 7 20 7 22 6 20 6 20 6 20 7 20 6 20 6 20 6 19 7 19 7 20 7 19 0 0 7 19 8 19 8 18 8 18 8 17 8 17 9 18 9 17 9 17 9 17 10 17 10 17 10 17 10 17 10 17 10 16 11 17 11 16 12 17 11 16 12 16 12 16 13 16 13 16 13 16 13 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,0,0,0,0,-96,0,6,1,1023625,0,82,0,0,1.2105,384,[82 -96 4 0 0 0 0 0 0 0 0 0 4 -22 4 -21 5 -21 6 -21 6 -21 6 -20 7 -20 7 -20 7 -20 7 -19 8 -19 8 -19 8 -18 8 -19 8 -18 8 -18 8 -18 8 -17 8 -17 8 -17 8 -17 8 -17 7 -16 7 -16 8 -16 6 -16 0 0 6 -16 6 -16 6 -16 6 -16 6 -16 5 -16 5 -17 4 -16 3 -16 3 -17 3 -16 3 -16 3 -17 2 -17 2 -17 2 -17 2 -17 1 -17 1 -17 1 -17 0 -18 0 -18 0 -17 0 -17 0 -17 0 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-44,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1057454,0,37,0,0,1.24094,128,[37 80 2 0 0 0 0 0 0 0 0 0 -25 8 -24 7 -26 7 -25 6 -26 6 -24 4 -25 4 -25 3 -25 3 -25 2 -25 2 -26 1 -25 1 -25 2 -24 1 -24 2 -23 1 -23 1 -22 1 -22 1 -22 1 -23 2 -22 1 -21 2 -22 2 -22 2 0 0 -21 3 -21 4 -20 4 -21 4 -20 4 -20 5 -21 5 -20 5 -20 6 -20 5 -20 6 -20 6 -20 7 -20 7 -20 7 -19 8 -20 8 -19 8 -18 9 -19 9 -19 9 -19 9 -19 10 -19 10 -19 10 -19 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-53,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,1060988,0,110,0,0,1.24646,384,[110 96 6 0 0 0 0 0 0 0 0 0 12 16 11 16 11 16 10 16 10 17 9 17 9 17 8 17 9 17 8 17 7 17 6 17 7 17 7 17 6 16 6 17 6 17 6 16 6 16 6 15 6 15 7 15 6 15 6 15 6 15 6 14 0 0 7 14 7 14 7 13 7 13 7 12 8 12 8 12 8 12 8 12 8 12 8 12 9 12 9 11 10 11 10 11 10 11 11 11 10 11 11 11 11 10 11 10 11 9 12 10 11 10 11 10 12 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,2026189,0,110,0,0,2.20971,384,[110 96 6 0 0 0 0 0 0 0 0 0 -19 8 -19 7 -20 7 -20 6 -20 6 -20 5 -20 5 -20 4 -19 4 -20 3 -20 3 -19 2 -20 2 -19 2 -19 2 -19 2 -18 2 -18 2 -18 2 -18 2 -18 2 -17 2 -17 2 -17 1 -17 2 -16 2 0 0 -16 3 -16 3 -16 3 -16 3 -15 3 -16 4 -15 4 -15 5 -15 5 -15 4 -15 4 -15 5 -15 6 -14 6 -14 6 -14 6 -14 6 -14 7 -14 7 -14 7 -14 7 -14 7 -14 8 -14 8 -14 8 -14 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,3025010,0,110,0,0,3.20851,384,[110 96 6 0 0 0 0 0 0 0 0 0 21 -7 21 -7 22 -6 22 -5 22 -5 21 -4 22 -3 21 -2 22 -3 22 -2 21 -1 20 -1 21 -1 21 -1 21 -1 20 -1 20 0 19 -1 19 -1 19 0 19 -1 19 -1 18 -1 18 -2 18 -1 18 -2 0 0 17 -2 17 -2 17 -2 17 -2 17 -3 17 -2 16 -3 17 -4 17 -3 16 -5 16 -5 16 -5 16 -5 16 -6 15 -6 16 -7 16 -7 16 -7 16 -7 16 -8 15 -8 15 -9 16 -8 15 -9 14 -9 15 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,4024748,0,110,0,0,4.20824,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 21 1 20 1 20 -1 20 -1 20 -1 19 -2 19 -2 20 -2 20 -2 20 -3 19 -4 19 -4 19 -4 19 -3 18 -4 18 -4 18 -3 17 -3 17 -3 17 -3 17 -3 17 -3 17 -3 16 -3 17 -2 16 0 0 -2 16 -2 16 -2 15 -1 16 -1 15 0 15 0 15 0 15 0 15 1 16 0 15 1 15 1 15 2 15 2 15 2 15 2 15 3 14 3 15 3 15 4 15 3 15 4 15 4 14 4 14 4 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,5032214,0,110,0,0,5.21576,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 -20 8 -19 9 -19 10 -18 10 -19 10 -17 11 -17 11 -17 12 -17 12 -17 12 -16 12 -15 12 -15 12 -15 12 -15 12 -15 11 -14 12 -14 12 -14 12 -13 12 -13 12 -13 11 -13 11 -13 11 -13 10 -13 0 0 10 -13 10 -13 9 -13 9 -13 9 -13 9 -13 8 -13 8 -14 8 -14 8 -14 7 -14 7 -14 7 -14 6 -15 6 -14 6 -14 6 -15 6 -14 6 -15 5 -15 5 -16 5 -15 5 -15 5 -16 4 -15 4 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,6026629,0,110,0,0,6.2101,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 -18 -12 -17 -11 -18 -11 -18 -10 -19 -10 -19 -9 -19 -9 -19 -8 -19 -8 -19 -7 -19 -6 -19 -7 -19 -6 -18 -6 -19 -6 -18 -6 -18 -6 -18 -5 -17 -5 -17 -5 -17 -6 -17 -5 -17 -5 -16 -5 -17 -6 -17 0 0 -6 -16 -6 -15 -6 -16 -6 -16 -6 -15 -7 -15 -7 -14 -7 -15 -7 -15 -7 -14 -7 -14 -8 -14 -8 -14 -8 -14 -8 -14 -9 -14 -8 -14 -9 -14 -9 -13 -10 -13 -10 -13 -10 -13 -10 -13 -10 -13 -10 -13 -10 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,7027695,0,110,0,0,7.21115,384,[110 96 6 0 0 0 0 0 0 0 0 0 23 1 22 2 23 2 22 2 23 3 21 4 21 6 21 6 21 6 21 6 21 6 20 6 20 7 20 6 20 7 20 7 19 7 19 6 19 6 19 7 18 7 18 6 18 6 17 5 17 6 17 5 0 0 17 5 17 4 17 4 17 4 16 3 17 3 17 3 17 3 16 3 17 3 17 2 17 1 17 1 17 0 17 0 16 0 17 0 17 0 17 0 17 0 17 0 17 -1 18 -1 17 -3 17 -2 17 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,8027180,0,110,0,0,8.21066,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 13 -16 13 -17 12 -17 12 -17 12 -17 11 -17 10 -17 10 -17 10 -18 10 -18 8 -18 8 -18 8 -18 8 -18 8 -18 7 -17 8 -17 7 -17 7 -16 8 -16 8 -16 8 -16 7 -16 7 -16 7 -15 7 0 0 -15 8 -15 8 -14 8 -14 8 -14 8 -13 8 -13 8 -13 9 -13 9 -13 9 -12 9 -13 9 -13 10 -12 10 -11 10 -12 11 -11 11 -11 11 -11 11 -11 11 -11 11 -10 11 -10 12 -10 12 -10 12 -10 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,9028023,0,110,0,0,9.21156,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 17 -11 17 -12 17 -13 16 -13 16 -13 15 -13 15 -14 15 -14 14 -14 14 -14 14 -14 13 -14 12 -14 13 -14 13 -14 13 -14 12 -14 12 -14 12 -13 12 -13 12 -13 12 -12 11 -13 12 -13 11 -12 11 0 0 -11 11 -11 12 -11 12 -10 12 -10 12 -10 12 -10 12 -9 12 -9 12 -9 13 -9 12 -8 13 -8 13 -8 13 -7 13 -7 14 -7 14 -7 13 -7 14 -6 14 -6 14 -6 14 -6 14 -5 14 -5 14 -5 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,6,1,1,1,1,0,0,0,-95,1,6,1,10037777,0,110,0,0,10.2212,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 5 17 5 17 6 17 6 17 6 16 7 16 8 16 8 16 9 15 8 15 9 15 9 15 8 14 9 14 9 13 9 14 9 13 9 13 9 13 9 13 9 13 9 13 8 13 8 13 8 12 8 0 0 12 7 13 7 13 7 12 6 12 6 12 6 12 6 13 5 13 6 13 5 13 5 13 4 13 4 13 4 13 4 14 4 14 3 13 3 14 4 14 3 14 3 14 3 14 2 14 1 14 2 14 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,11032090,0,110,0,0,11.2156,384,[110 96 6 0 0 0 0 0 0 0 0 0 4 22 4 23 3 22 2 23 2 23 1 22 1 22 0 22 -1 22 0 21 -1 21 -1 22 -2 21 -2 21 -1 21 -2 20 -2 20 -2 20 -2 20 -2 19 -2 19 -2 19 -2 19 -1 18 -1 19 -1 18 0 0 0 18 -1 18 0 18 0 17 0 17 1 17 1 17 1 17 2 17 2 17 2 16 3 16 3 16 3 17 4 16 4 17 4 16 5 16 5 17 5 17 5 16 5 16 6 16 6 16 6 16 6 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,6,1,1,1,1,0,0,0,-95,1,6,1,12031175,0,110,0,0,12.2147,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 6 17 7 17 7 16 8 16 8 16 9 15 9 15 9 15 9 14 10 14 10 14 10 14 10 14 10 14 10 13 11 13 10 13 10 12 10 13 9 12 9 12 9 12 9 12 9 12 9 12 9 0 0 12 7 12 8 12 7 12 7 12 7 12 6 12 7 12 6 13 6 12 5 13 5 13 5 13 5 13 5 13 4 13 4 14 4 14 3 14 4 14 3 15 3 14 3 14 3 14 2 14 3 14 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,6,1,1,1,1,0,0,0,-95,1,6,1,13037484,0,110,0,0,13.2209,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 10 -16 9 -17 10 -17 9 -18 8 -16 8 -17 7 -17 7 -17 6 -18 6 -17 5 -18 5 -18 5 -18 5 -17 5 -17 5 -16 4 -17 5 -16 5 -16 5 -16 5 -16 5 -16 4 -15 4 -16 4 -15 4 0 0 -14 5 -15 5 -14 5 -15 6 -13 5 -14 6 -14 6 -13 6 -13 6 -14 6 -13 6 -13 7 -13 7 -13 7 -13 8 -12 8 -12 8 -12 8 -12 9 -11 8 -12 9 -12 9 -12 9 -12 10 -12 9 -11 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,14038288,0,110,0,0,14.2218,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 -21 -4 -21 -3 -20 -2 -21 -1 -21 -1 -21 0 -21 0 -21 0 -21 1 -20 1 -20 1 -20 2 -20 2 -19 2 -19 2 -19 2 -19 2 -18 2 -18 2 -18 2 -17 2 -18 2 -17 2 -17 2 -17 1 -17 0 0 1 -17 1 -17 1 -17 1 -17 0 -16 0 -16 0 -16 -1 -16 -1 -16 -1 -16 -1 -16 -2 -15 -2 -16 -2 -16 -2 -15 -2 -16 -2 -16 -3 -16 -3 -15 -4 -16 -4 -16 -4 -15 -4 -15 -4 -15 -4 -16 -4 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,15036383,0,110,0,0,15.2198,384,[110 96 6 0 0 0 0 0 0 0 0 0 20 -5 20 -4 20 -3 20 -3 20 -2 20 -1 19 -1 19 0 20 0 19 0 19 1 19 1 18 1 19 1 19 1 18 2 18 2 17 2 17 1 17 2 17 1 17 1 16 1 16 1 16 1 16 1 0 0 16 1 16 1 16 0 15 0 15 0 15 -1 15 -1 15 -1 15 -1 15 -2 15 -2 15 -2 15 -2 15 -3 14 -2 15 -3 15 -3 15 -3 15 -3 14 -4 15 -4 15 -5 15 -5 14 -5 14 -5 14 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,16036226,0,110,0,0,16.2197,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 18 9 18 9 18 7 18 8 18 7 18 6 18 6 19 6 19 5 19 5 19 4 19 4 18 4 18 4 18 4 18 3 17 3 17 3 17 3 17 3 17 4 16 3 16 3 16 3 16 3 16 0 0 4 15 4 15 4 15 4 15 4 14 5 14 5 14 5 14 6 14 6 14 6 14 6 13 6 13 7 13 7 13 8 13 8 13 8 12 8 13 8 13 8 12 8 12 9 12 9 12 9 12 9 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,17037694,0,110,0,0,17.2212,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 -21 2 -20 3 -21 4 -21 4 -21 4 -20 5 -20 5 -20 5 -20 6 -19 6 -19 7 -19 7 -18 7 -18 7 -18 7 -18 6 -17 7 -17 6 -17 7 -17 6 -17 6 -17 6 -16 6 -16 6 -16 5 -16 0 0 5 -16 5 -16 4 -16 4 -16 4 -15 4 -16 3 -16 3 -16 3 -16 2 -16 2 -16 2 -16 2 -16 1 -16 1 -16 1 -16 1 -16 0 -16 0 -16 -1 -16 -1 -16 -1 -16 -1 -16 -1 -16 -2 -16 -2 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,18038291,0,110,0,0,18.2218,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 18 9 18 9 17 8 18 8 18 7 18 6 19 6 19 6 19 5 18 5 18 4 18 4 18 4 18 4 18 4 18 3 17 3 17 3 17 3 17 3 16 3 17 3 16 3 15 3 16 3 16 0 0 4 15 4 15 4 15 4 15 5 14 5 14 5 14 5 14 5 14 5 14 5 13 6 14 6 13 6 13 6 13 7 13 7 13 7 13 7 13 8 13 8 13 8 13 8 13 8 12 8 12 9 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,19037461,0,110,0,0,19.2209,384,[110 96 6 0 0 0 0 0 0 0 0 0 -19 8 -19 7 -21 7 -20 6 -21 6 -19 5 -20 4 -20 4 -20 3 -20 4 -20 2 -20 2 -20 2 -19 2 -19 2 -19 1 -18 1 -18 1 -18 2 -18 2 -18 2 -18 2 -18 2 -17 2 -17 2 -16 2 0 0 -16 2 -17 2 -16 3 -16 3 -15 3 -16 4 -16 4 -15 4 -15 4 -15 4 -15 4 -15 5 -15 6 -14 5 -15 6 -14 6 -15 6 -14 6 -14 7 -14 7 -14 7 -14 7 -14 8 -14 8 -14 8 -13 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,20042905,0,110,0,0,20.2264,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 17 -12 17 -13 16 -13 16 -13 15 -14 15 -14 14 -14 14 -14 14 -15 13 -15 13 -15 12 -15 13 -15 12 -15 12 -15 12 -14 12 -14 11 -14 11 -14 12 -14 11 -13 11 -13 11 -13 11 -13 11 -12 11 0 0 -12 11 -12 11 -12 11 -11 11 -11 11 -10 12 -11 11 -10 12 -10 12 -10 12 -10 12 -9 13 -9 13 -9 13 -8 13 -8 13 -8 13 -7 13 -8 14 -7 13 -7 14 -7 14 -6 14 -6 14 -6 14 -6 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,21043613,0,110,0,0,21.2271,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -21 -5 -20 -4 -21 -3 -21 -3 -21 -3 -20 -2 -21 -1 -21 -1 -20 -1 -20 0 -20 0 -20 1 -20 1 -20 1 -19 1 -19 1 -18 1 -19 1 -18 1 -18 1 -18 1 -18 1 -17 1 -17 1 -17 0 -17 0 0 0 -17 0 -17 0 -17 -1 -17 -1 -16 -1 -16 -1 -17 -1 -16 -2 -16 -3 -16 -2 -16 -3 -16 -3 -16 -3 -16 -3 -16 -3 -16 -3 -16 -4 -16 -4 -16 -5 -15 -5 -16 -5 -15 -5 -16 -5 -15 -6 -15 -5 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,22041383,0,110,0,0,22.2249,384,[110 96 6 0 0 0 0 0 0 0 0 0 21 9 20 10 20 11 19 11 19 11 18 12 18 13 18 13 17 13 17 13 16 14 16 14 16 14 15 14 15 13 15 14 14 13 15 13 14 13 15 13 14 13 15 12 14 13 13 12 14 12 13 11 0 0 13 11 14 11 14 10 14 10 14 9 14 9 14 9 14 8 14 8 15 9 14 9 15 8 15 7 15 7 16 7 15 6 16 7 15 6 16 6 16 6 16 6 16 5 17 6 16 5 16 5 16 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-54,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,23042314,0,110,0,0,23.2258,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 -20 -6 -20 -5 -20 -4 -20 -4 -20 -3 -21 -2 -20 -2 -21 -1 -20 -1 -20 -1 -20 0 -20 0 -19 0 -19 0 -19 0 -19 0 -19 0 -18 0 -18 1 -18 1 -18 1 -18 0 -17 0 -17 0 -17 0 -17 0 0 0 -17 -1 -16 -1 -16 -1 -17 -2 -16 -1 -16 -1 -16 -2 -16 -2 -16 -3 -16 -3 -16 -3 -15 -3 -16 -4 -15 -4 -15 -4 -16 -4 -15 -4 -16 -5 -15 -5 -15 -5 -15 -5 -15 -5 -15 -6 -15 -6 -15 -6 -15 0 0 0 0 0 0 0 0 0 0 ]
