type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-46,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,35491,0,131,0,0,0.219635,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -17 20 -17 18 -19 20 -18 18 -19 18 -18 16 -19 17 -19 16 -20 16 -21 15 -21 15 -21 15 -20 14 -20 14 -19 13 -20 15 -19 12 -20 13 -18 13 -18 13 -18 13 -19 13 -18 12 -17 13 -19 14 -18 13 0 0 -17 14 -17 15 -15 14 -16 15 -15 13 -15 15 -15 15 -14 15 -14 16 -15 16 -14 16 -14 15 -14 16 -13 16 -13 16 -13 16 -13 18 -12 16 -12 18 -11 18 -11 17 -11 18 -12 18 -11 18 -12 18 -11 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-57,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,39666,0,135,0,0,0.225798,384,[-121 112 8 0 0 0 0 0 0 0 0 0 16 -4 16 -3 16 -3 16 -2 16 -2 16 -1 16 0 16 -1 16 0 16 0 15 0 16 1 15 1 15 1 16 1 15 1 14 1 14 1 14 1 14 1 14 1 14 1 14 1 13 1 14 1 13 1 0 0 13 0 13 0 14 0 13 0 12 -1 13 -1 12 -1 13 -1 13 -1 12 -2 13 -2 13 -2 13 -2 13 -2 12 -2 13 -2 13 -3 12 -3 12 -3 12 -4 13 -4 13 -4 13 -4 12 -4 13 -4 12 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-56,11,1,7,1,1,1,0,0,0,0,-97,0,6,1,65980,0,239,0,0,0.249675,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -1 -19 -1 -18 0 -19 0 -19 0 -19 1 -18 2 -18 2 -18 2 -18 3 -18 2 -18 3 -18 4 -17 3 -17 3 -17 3 -17 3 -16 3 -16 3 -16 3 -16 3 -16 3 -16 3 -16 3 -15 3 -16 2 -15 0 0 2 -16 2 -15 2 -15 1 -16 1 -14 2 -15 1 -15 1 -15 0 -15 0 -15 -1 -15 -1 -14 -1 -15 -1 -14 -2 -15 -2 -14 -2 -15 -2 -15 -1 -14 -3 -15 -2 -14 -3 -15 -3 -15 -3 -15 -3 -15 -4 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-48,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1023428,0,37,0,0,1.20739,128,[37 80 2 0 0 0 0 0 0 0 0 0 24 -6 24 -5 26 -5 25 -4 26 -4 23 -2 24 -2 24 -1 25 -1 25 0 24 0 25 0 24 1 24 1 22 1 24 1 21 2 22 2 20 1 21 1 21 1 22 1 20 1 20 1 22 0 20 0 0 0 20 0 21 0 20 -1 20 -1 18 -1 19 -2 20 -2 19 -2 20 -2 19 -2 19 -3 19 -3 19 -4 19 -3 19 -3 18 -4 20 -4 18 -4 19 -4 19 -5 19 -5 19 -5 19 -6 19 -6 19 -6 19 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-59,11,1,7,1,1,1,0,0,0,0,-96,0,6,1,1023862,0,82,0,0,1.21294,384,[82 -96 4 0 0 0 0 0 0 0 0 0 5 -17 5 -16 6 -16 7 -15 7 -16 7 -15 8 -15 8 -14 8 -15 8 -14 8 -14 8 -14 9 -13 8 -14 9 -13 9 -13 9 -12 8 -12 8 -12 9 -12 8 -12 8 -12 8 -12 7 -12 8 -12 7 -12 0 0 7 -11 6 -12 7 -11 6 -12 6 -11 6 -12 6 -11 6 -11 5 -12 5 -12 4 -12 4 -12 4 -13 4 -12 4 -12 3 -12 4 -12 3 -13 4 -12 3 -13 3 -13 3 -13 3 -13 2 -13 2 -13 2 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-49,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1056468,0,37,0,0,1.2401,128,[37 80 2 0 0 0 0 0 0 0 0 0 -24 1 -24 0 -25 0 -25 -1 -24 -2 -23 -2 -23 -3 -23 -3 -24 -3 -23 -3 -23 -3 -24 -4 -23 -4 -23 -4 -22 -4 -22 -4 -21 -5 -20 -5 -20 -4 -20 -4 -20 -4 -20 -4 -19 -4 -19 -3 -21 -3 -20 -2 0 0 -20 -2 -20 -2 -20 -1 -20 -1 -19 -1 -19 0 -19 0 -19 0 -20 1 -19 1 -19 1 -19 1 -19 2 -20 2 -19 2 -19 2 -19 3 -18 3 -18 3 -18 4 -18 4 -19 4 -18 5 -18 5 -18 5 -18 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-60,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,1063729,0,110,0,0,1.24695,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 -14 11 -14 11 -13 12 -13 12 -13 12 -12 13 -12 12 -11 13 -11 12 -11 13 -11 13 -10 13 -10 13 -10 13 -10 12 -9 13 -9 12 -9 12 -9 12 -8 12 -8 12 -9 12 -9 11 -9 11 -8 11 -9 0 0 11 -8 10 -9 10 -9 10 -9 10 -9 10 -9 9 -9 9 -9 9 -10 9 -10 9 -10 9 -10 8 -10 8 -10 8 -10 8 -11 8 -11 8 -11 7 -11 7 -11 7 -11 7 -11 7 -11 7 -12 7 -12 7 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-59,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,2023815,0,110,0,0,2.20755,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 -15 7 -15 8 -15 8 -15 9 -15 9 -14 9 -13 9 -13 10 -14 10 -13 10 -13 10 -12 10 -12 10 -12 10 -12 10 -12 9 -11 9 -11 9 -11 10 -11 9 -11 9 -11 8 -11 9 -11 8 -11 8 -11 0 0 8 -10 8 -11 7 -11 7 -11 7 -11 7 -11 6 -11 6 -11 6 -11 6 -11 5 -11 5 -11 5 -12 5 -12 4 -11 4 -12 5 -12 4 -12 4 -12 3 -12 3 -12 3 -12 3 -12 3 -12 2 -12 2 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-62,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,3030932,0,110,0,0,3.21465,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 -18 3 -18 3 -18 4 -18 4 -18 4 -17 5 -17 5 -17 6 -17 6 -17 6 -16 6 -16 7 -15 6 -16 6 -15 7 -15 7 -15 6 -14 6 -15 6 -14 7 -14 6 -15 5 -14 6 -14 6 -14 6 -14 0 0 5 -14 5 -14 5 -14 4 -14 4 -13 4 -13 4 -13 4 -13 3 -14 2 -13 2 -14 2 -13 2 -14 2 -14 2 -14 1 -14 2 -14 1 -14 1 -13 0 -14 0 -14 0 -14 0 -14 0 -14 0 -14 -1 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-60,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,4022790,0,110,0,0,4.20649,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 -18 7 -17 8 -17 9 -16 9 -17 9 -16 10 -15 10 -15 10 -15 10 -15 10 -14 11 -14 11 -14 11 -14 11 -13 10 -13 10 -13 10 -13 10 -13 10 -12 10 -12 10 -12 9 -12 9 -12 9 -12 9 -12 0 0 8 -12 8 -12 8 -12 7 -12 7 -12 7 -12 7 -12 7 -12 6 -12 6 -13 5 -13 5 -13 5 -13 5 -13 4 -13 4 -13 4 -13 4 -13 4 -13 3 -13 3 -14 3 -13 3 -14 2 -14 2 -14 2 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-62,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,5024798,0,110,0,0,5.20858,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 15 -7 15 -8 14 -8 15 -8 14 -8 14 -9 14 -9 13 -9 13 -9 13 -10 13 -10 12 -10 12 -10 12 -9 12 -10 11 -10 11 -9 11 -10 11 -9 11 -9 11 -9 10 -8 11 -9 10 -8 10 -8 10 0 0 -7 10 -7 10 -8 11 -7 10 -7 10 -6 10 -6 10 -6 10 -6 11 -6 10 -5 11 -5 11 -5 11 -5 11 -4 10 -4 11 -4 11 -3 11 -3 11 -3 11 -3 11 -3 11 -3 11 -3 11 -2 11 -2 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-60,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,6027862,0,110,0,0,6.21156,384,[110 96 6 0 0 0 0 0 0 0 0 0 12 -14 12 -14 13 -14 14 -13 14 -13 14 -12 14 -12 14 -11 14 -11 14 -11 15 -10 14 -10 15 -9 14 -9 14 -9 14 -9 14 -9 13 -9 13 -8 14 -8 13 -8 13 -8 13 -8 12 -8 13 -8 12 -8 0 0 11 -8 12 -9 11 -9 11 -9 11 -8 10 -9 11 -9 10 -9 10 -10 10 -10 9 -10 9 -10 9 -10 9 -10 9 -10 8 -11 9 -11 8 -11 8 -11 7 -11 7 -11 8 -12 8 -12 7 -12 7 -12 6 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-60,11,1,7,1,1,1,1,0,0,0,-95,1,6,1,7028073,0,110,0,0,7.21176,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 18 -5 17 -6 17 -7 17 -7 17 -7 16 -8 16 -8 16 -8 16 -8 15 -9 15 -9 15 -9 15 -9 14 -9 14 -9 14 -9 14 -8 14 -8 14 -9 14 -8 14 -8 13 -8 13 -8 12 -8 12 -7 12 0 0 -6 13 -7 13 -6 12 -6 12 -6 12 -6 13 -5 13 -5 13 -4 12 -5 13 -4 13 -4 13 -3 13 -3 13 -3 13 -3 13 -2 13 -2 13 -2 13 -2 13 -2 13 -1 13 -1 13 -1 13 -1 13 0 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-62,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,8028935,0,110,0,0,8.21264,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 -6 17 -5 18 -5 18 -4 17 -4 17 -4 18 -3 17 -3 18 -2 17 -2 17 -2 17 -1 17 -1 17 -1 17 -1 16 0 16 -1 15 -1 16 -1 16 -1 15 -1 15 -1 14 -1 14 -1 14 -1 14 -1 0 0 14 -2 14 -2 14 -2 13 -2 13 -3 13 -3 13 -3 13 -3 13 -3 12 -3 12 -4 13 -4 13 -4 13 -5 12 -5 12 -5 12 -6 12 -6 12 -6 11 -6 11 -7 12 -6 12 -7 11 -7 11 -7 11 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-61,11,1,7,1,1,1,1,0,0,0,-94,1,6,1,9028478,0,110,0,0,9.21224,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 -6 18 -5 18 -4 18 -4 18 -4 18 -3 18 -2 17 -2 18 -2 17 -1 17 -1 17 -1 17 0 17 0 16 0 16 0 16 0 15 0 16 0 16 0 15 0 15 0 15 0 14 0 14 0 14 0 0 0 14 0 14 -1 14 -1 13 -1 13 -2 13 -2 13 -2 13 -2 13 -2 13 -2 13 -3 13 -3 13 -3 13 -3 12 -4 12 -4 13 -4 12 -4 12 -4 12 -5 12 -5 12 -5 12 -5 12 -6 12 -6 11 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-60,11,1,6,1,1,1,1,0,0,0,-94,1,6,1,10030198,0,110,0,0,10.2139,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 12 14 12 13 12 13 13 12 13 12 13 11 13 11 13 11 14 10 14 10 14 10 14 9 14 9 14 9 14 9 14 9 13 8 13 9 13 9 12 8 12 9 12 8 12 8 12 8 12 8 11 0 0 9 11 9 11 9 10 9 10 9 9 9 9 9 9 10 9 10 9 10 8 10 8 10 8 10 8 11 7 10 7 11 7 11 7 11 6 11 6 11 6 11 6 11 6 11 5 11 5 12 5 12 5 0 0 0 0 0 0 0 0 0 0 ]
